scenario,request_type,run,mean,median,std,min,max,p90,p95,p99
High,Grant,2,1.0101010101010102,1.0,0.10007917556503601,1.0,2.0,1.0,1.0,1.07000000000005
High,Grant,3,1.0050251256281406,1.0,0.07076908075185363,1.0,2.0,1.0,1.0,1.0
High,Grant,4,1.0067114093959733,1.0,0.08171640200719718,1.0,2.0,1.0,1.0,1.0
High,Grant,5,1.0118043844856661,1.0,0.10809600109956327,1.0,2.0,1.0,1.0,2.0
High,Registration,1,1.0067114093959733,1.0,0.08171640200719718,1.0,2.0,1.0,1.0,1.0
High,Registration,2,1.0118043844856661,1.0,0.10809600109956327,1.0,2.0,1.0,1.0,2.0
High,Registration,3,1.0084033613445378,1.0,0.09136067563593982,1.0,2.0,1.0,1.0,1.0
High,Registration,4,1.0033444816053512,1.0,0.0577830378104902,1.0,2.0,1.0,1.0,1.0
High,Registration,5,1.0067114093959733,1.0,0.08171640200719718,1.0,2.0,1.0,1.0,1.0
High,Relinquishment,1,1.015228426395939,1.0,0.12256402105988132,1.0,2.0,1.0,1.0,2.0
High,Relinquishment,2,1.0169491525423728,1.0,0.1417242143318258,1.0,3.0,1.0,1.0,2.0
High,Relinquishment,3,1.015228426395939,1.0,0.12256402105988133,1.0,2.0,1.0,1.0,2.0
High,Relinquishment,4,1.0186757215619695,1.0,0.1354920929415848,1.0,2.0,1.0,1.0,2.0
High,Relinquishment,5,1.015228426395939,1.0,0.12256402105988132,1.0,2.0,1.0,1.0,2.0
High,Revoke,1,1.0135135135135136,1.0,0.11555715026695865,1.0,2.0,1.0,1.0,2.0
High,Revoke,2,1.0186757215619695,1.0,0.14751090737267103,1.0,3.0,1.0,1.0,2.0
High,Revoke,3,1.0101010101010102,1.0,0.10007917556503601,1.0,2.0,1.0,1.0,1.07000000000005
High,Revoke,4,1.0204081632653061,1.0,0.14151228744222788,1.0,2.0,1.0,1.0,2.0
High,Revoke,5,1.015228426395939,1.0,0.12256402105988132,1.0,2.0,1.0,1.0,2.0
Stress,Authorize,1,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Authorize,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Authorize,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Authorize,4,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Authorize,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Deregistration,1,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Deregistration,2,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Deregistration,3,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Deregistration,4,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Deregistration,5,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Grant,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Grant,2,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Grant,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Grant,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Grant,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Registration,1,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Registration,2,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Registration,3,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Registration,4,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Registration,5,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Relinquishment,1,1.002004008016032,1.0,0.044736214199800325,1.0,2.0,1.0,1.0,1.0
Stress,Relinquishment,2,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Relinquishment,3,1.0013351134846462,1.0,0.03652699858010528,1.0,2.0,1.0,1.0,1.0
Stress,Relinquishment,4,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Relinquishment,5,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Revoke,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Revoke,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Revoke,3,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
Stress,Revoke,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Stress,Revoke,5,1.0006671114076051,1.0,0.02582849991008131,1.0,2.0,1.0,1.0,1.0
