timeStamp,label,responseCode,responseMessage,failureMessage,scenario,request_type,run
2025-07-02 13:56:55.537,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:55.793,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:55.793,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:55.793,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:55.793,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:55.793,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:55.794,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:55.793,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:55.794,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:56.236,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:56.236,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:56.237,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:56.237,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:56.237,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:56.511,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:56.511,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:56.512,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:56.512,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:56:56.512,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:56.512,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:56.512,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:57.407,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:56:57.407,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:56:56.976,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:56:56.976,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
